web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,name,price,buylink,buylink-href,image-src,info-label,info
"1616031733-196057","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram PSD3L1600C118GVS 8 GB         (0)","https://pcpartpicker.com/product/9y4NnQ/panram-memory-psd3l1600c118gvs","Panram 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/3111F4iO5JL.jpg","Part #",""
"1616031675-195570","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","GeIL SUPER LUCE 16 GB         (0)","https://pcpartpicker.com/product/mrDzK8/geil-memory-glb416gb2400c15dc","GeIL SUPER LUCE 16 GB (2 x 8 GB) DDR4-2400 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41nezdK5PkL.jpg","","2 x 8GB"
"1616030888-188708","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 16 GB         (48)","https://pcpartpicker.com/product/jjZ2FT/corsair-vengeance-lpx-16gb-2-x-8gb-ddr4-3200-memory-cmk16gx4m2b3200c16w","Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","","","","","","CMK16GX4M2B3200C16W"
"1616031578-194720","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Mushkin Essentials 8 GB         (0)","https://pcpartpicker.com/product/gzfmP6/mushkin-memory-mes3u1609m4gx2","Mushkin Essentials 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory","","","","/static/forever/img/no-image.png","Modules",""
"1616031145-191691","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Apacer AU 8 GB         (0)","https://pcpartpicker.com/product/B7WzK8/apacer-au-8-gb-1-x-8-gb-ddr4-2400-cl17-memory-au08ggb24cetbgh","Apacer AU 8 GB (1 x 8 GB) DDR4-2400 CL17 Memory","","","","/static/forever/img/no-image.png","","Non-ECC / Unbuffered"
"1616031031-190498","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance RGB Pro 32 GB         (31)","https://pcpartpicker.com/product/L7qhP6/corsair-vengeance-rgb-pro-32gb-2-x-16gb-ddr4-3200-memory-cmw32gx4m2c3200c16w","Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory","","","","","Modules",""
"1616030987-189963","https://pcpartpicker.com/products/memory/","","","Crucial Ballistix 16 GB         (2)","https://pcpartpicker.com/product/zCCFf7/crucial-ballistix-16-gb-2-x-8-gb-ddr4-3000-memory-bl2k8g30c15u4w","Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3000 CL15 Memory","","","","","","BL2K8G30C15U4W"
"1616031063-190912","https://pcpartpicker.com/products/memory/","","","G.Skill Ripjaws V Series 32 GB         (71)","https://pcpartpicker.com/product/kXbkcf/gskill-memory-f43200c16d32gvk","G.Skill Ripjaws V Series 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory","","","","","ECC / Registered",""
"1616031615-195047","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Kingston KVR21R15S4/8I 8 GB         (0)","https://pcpartpicker.com/product/kDqbt6/kingston-memory-kvr21r15s48i","Kingston 8 GB (1 x 8 GB) Registered DDR4-2133 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41XB4vjMYoL.jpg","","Kingston"
"1616031194-192130","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","G.Skill Trident Z Royal 64 GB         (0)","https://pcpartpicker.com/product/WryV3C/gskill-trident-z-royal-64-gb-8-x-8-gb-ddr4-3200-memory-f4-3200c16q2-64gtrg","G.Skill Trident Z Royal 64 GB (8 x 8 GB) DDR4-3200 CL16 Memory","","","","","Part #",""
"1616030911-188998","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 16 GB         (46)","https://pcpartpicker.com/product/J27CmG/corsair-memory-cmk16gx4m2a2666c16","Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2666 CL16 Memory","","","","","Color",""
"1616031718-195936","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja-V 16 GB         (0)","https://pcpartpicker.com/product/33Z2FT/panram-memory-pud42666c168g2njk","Panram Ninja-V 16 GB (2 x 8 GB) DDR4-2666 CL16 Memory","","","","/static/forever/img/no-image.png","Manufacturer",""
"1616031423-193570","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","G.Skill Trident Z 16 GB         (0)","https://pcpartpicker.com/product/CYzZxr/gskill-tridentz-series-16gb-2-x-8gb-ddr4-3333-memory-f4-3333c16d-16gtzsk","G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3333 CL16 Memory","","","","https://images-eu.ssl-images-amazon.com/images/I/51ymoaefo%2BL.jpg","","16"
